label,convo_id,how_enjoyable,shared_reality,responsive,conversationalist,i_like_you,in_common,paper_pcs_proxy,short_id,hf_recording_path,dyad_gender,how_enjoyable_n_raters,shared_reality_n_raters,responsive_n_raters,conversationalist_n_raters,i_like_you_n_raters,in_common_n_raters,paper_pcs_proxy_n_raters
HSC,012dd705-ee62-49f6-8016-cf2e3cc066e4,9.0,6.625,6.666666666666666,97.5,7.0,8.0,0.9799242424242425,012dd705,012dd705-ee62-49f6-8016-cf2e3cc066e4/processed/012dd705-ee62-49f6-8016-cf2e3cc066e4.mp3,female-female,2,2,2,2,2,2,2
HSC,06afb9c1-b367-45c7-a9ff-74c47a2cb61c,9.0,6.125,6.5,95.5,7.0,9.0,0.9415151515151516,06afb9c1,06afb9c1-b367-45c7-a9ff-74c47a2cb61c/processed/06afb9c1-b367-45c7-a9ff-74c47a2cb61c.mp3,female-female,2,2,2,2,2,2,2
HSC,06b83c0a-7bf1-4cf9-9e72-034615d97050,9.0,5.8125,6.5,93.5,7.0,6.5,0.9387878787878787,06b83c0a,06b83c0a-7bf1-4cf9-9e72-034615d97050/processed/06b83c0a-7bf1-4cf9-9e72-034615d97050.mp3,female-male,2,2,2,2,2,2,2
HSC,11303b4f-a7fe-4c9a-80cd-4191e3c2b930,9.0,5.9375,7.0,92.0,7.0,8.5,0.9136363636363636,11303b4f,11303b4f-a7fe-4c9a-80cd-4191e3c2b930/processed/11303b4f-a7fe-4c9a-80cd-4191e3c2b930.mp3,female-female,2,2,2,2,2,2,2
HSC,115ba192-7e26-497b-85b2-adf378b33387,9.0,6.0,7.0,96.0,7.0,8.0,0.9112121212121213,115ba192,115ba192-7e26-497b-85b2-adf378b33387/processed/115ba192-7e26-497b-85b2-adf378b33387.mp3,contains_other_or_unknown,1,1,1,1,1,1,1
HSC,13f6956b-ff2a-4ad3-aed6-8fd3cfdb2cd4,9.0,5.875,6.0,85.0,7.0,8.0,0.9030303030303031,13f6956b,13f6956b-ff2a-4ad3-aed6-8fd3cfdb2cd4/processed/13f6956b-ff2a-4ad3-aed6-8fd3cfdb2cd4.mp3,contains_other_or_unknown,1,1,1,1,1,1,1
HSC,14642cb6-c054-4403-9c04-ef62460950b5,9.0,5.5,6.666666666666667,97.0,7.0,7.5,0.9586363636363636,14642cb6,14642cb6-c054-4403-9c04-ef62460950b5/processed/14642cb6-c054-4403-9c04-ef62460950b5.mp3,female-female,2,2,2,2,2,2,2
HSC,1c0e34d9-5c5c-4e74-9046-216fcd5cbd6d,9.0,6.625,6.333333333333334,95.0,7.0,8.0,0.9621212121212122,1c0e34d9,1c0e34d9-5c5c-4e74-9046-216fcd5cbd6d/processed/1c0e34d9-5c5c-4e74-9046-216fcd5cbd6d.mp3,female-male,2,2,2,2,2,2,2
HSC,1d932c05-9340-4f74-90a5-1820ae5c1646,9.0,6.4375,6.833333333333334,94.0,7.0,7.0,0.9392424242424242,1d932c05,1d932c05-9340-4f74-90a5-1820ae5c1646/processed/1d932c05-9340-4f74-90a5-1820ae5c1646.mp3,contains_other_or_unknown,2,2,2,2,2,2,2
HSC,1e3c22d6-422c-4921-8892-e31e09f9a2f6,9.0,4.625,4.666666666666667,85.0,7.0,8.0,0.9204545454545454,1e3c22d6,1e3c22d6-422c-4921-8892-e31e09f9a2f6/processed/1e3c22d6-422c-4921-8892-e31e09f9a2f6.mp3,contains_other_or_unknown,1,1,1,1,1,1,1
HSC,1f27e83c-e6e2-45de-9200-fbbf0541b2c1,9.0,5.625,6.666666666666666,86.5,6.5,7.5,0.9385606060606062,1f27e83c,1f27e83c-e6e2-45de-9200-fbbf0541b2c1/processed/1f27e83c-e6e2-45de-9200-fbbf0541b2c1.mp3,female-female,2,2,2,2,2,2,2
HSC,202d99fa-91ea-4893-a15f-365039e198b6,9.0,6.625,6.166666666666666,93.0,7.0,9.0,0.9381060606060606,202d99fa,202d99fa-91ea-4893-a15f-365039e198b6/processed/202d99fa-91ea-4893-a15f-365039e198b6.mp3,female-male,2,2,2,2,2,2,2
HSC,209e1eea-1c64-41bb-8707-47c4d77e7e92,9.0,5.25,6.5,95.0,7.0,8.0,0.9740909090909091,209e1eea,209e1eea-1c64-41bb-8707-47c4d77e7e92/processed/209e1eea-1c64-41bb-8707-47c4d77e7e92.mp3,female-male,2,2,2,2,2,2,2
HSC,22a2c682-eb92-4e85-b570-7418de44ad58,9.0,5.875,6.5,96.5,7.0,6.5,0.9231060606060606,22a2c682,22a2c682-eb92-4e85-b570-7418de44ad58/processed/22a2c682-eb92-4e85-b570-7418de44ad58.mp3,male-male,2,2,2,2,2,2,2
HSC,231d78a6-e5bc-47da-bad1-67988b9c7dad,9.0,5.0,6.0,92.0,7.0,7.0,0.956969696969697,231d78a6,231d78a6-e5bc-47da-bad1-67988b9c7dad/processed/231d78a6-e5bc-47da-bad1-67988b9c7dad.mp3,female-female,2,2,2,2,2,2,2
HSC,2699024b-93f4-48b8-ac08-3012274a47fa,9.0,5.5,6.5,95.0,7.0,9.0,0.9170454545454546,2699024b,2699024b-93f4-48b8-ac08-3012274a47fa/processed/2699024b-93f4-48b8-ac08-3012274a47fa.mp3,female-female,2,2,2,2,2,2,2
HSC,2b209eb6-0d48-4ebb-9290-5a027ffa3c72,9.0,5.6875,6.166666666666666,93.0,7.0,8.5,0.9658333333333333,2b209eb6,2b209eb6-0d48-4ebb-9290-5a027ffa3c72/processed/2b209eb6-0d48-4ebb-9290-5a027ffa3c72.mp3,female-female,2,2,2,2,2,2,2
HSC,2b5ecfe7-75e9-4744-b6bd-805b525fa5ee,8.5,4.6875,6.166666666666666,93.0,7.0,7.0,0.9261363636363635,2b5ecfe7,2b5ecfe7-75e9-4744-b6bd-805b525fa5ee/processed/2b5ecfe7-75e9-4744-b6bd-805b525fa5ee.mp3,female-male,2,2,2,2,2,2,2
HSC,2d7f1113-de9d-4e61-bdbe-38a9bd2a1121,9.0,4.0625,6.0,82.5,7.0,7.5,0.9522727272727274,2d7f1113,2d7f1113-de9d-4e61-bdbe-38a9bd2a1121/processed/2d7f1113-de9d-4e61-bdbe-38a9bd2a1121.mp3,female-female,2,2,2,2,2,2,2
HSC,2e6ecec2-ee12-4fd2-af36-e5477d3a5081,9.0,4.625,6.0,88.0,7.0,9.0,0.9490909090909092,2e6ecec2,2e6ecec2-ee12-4fd2-af36-e5477d3a5081/processed/2e6ecec2-ee12-4fd2-af36-e5477d3a5081.mp3,female-female,2,2,2,2,2,2,2
HSC,307f0b6d-5703-411c-aec8-f2fbd6f099e8,9.0,6.0625,6.333333333333334,95.5,7.0,8.5,0.9936363636363637,307f0b6d,307f0b6d-5703-411c-aec8-f2fbd6f099e8/processed/307f0b6d-5703-411c-aec8-f2fbd6f099e8.mp3,female-female,2,2,2,2,2,2,2
HSC,30a5a4ba-5ca5-465f-8a8f-cda3d7737662,9.0,5.4375,7.0,91.5,7.0,6.5,0.9454545454545455,30a5a4ba,30a5a4ba-5ca5-465f-8a8f-cda3d7737662/processed/30a5a4ba-5ca5-465f-8a8f-cda3d7737662.mp3,female-male,2,2,2,2,2,2,2
HSC,30a69621-20ae-437e-bc61-7934ac8bc543,9.0,4.375,6.5,94.0,7.0,6.5,0.9224242424242424,30a69621,30a69621-20ae-437e-bc61-7934ac8bc543/processed/30a69621-20ae-437e-bc61-7934ac8bc543.mp3,female-female,2,2,2,2,2,2,2
HSC,377bc163-b127-4b18-9333-10c8ae16fb96,8.5,5.9375,6.5,100.0,7.0,6.5,0.9659090909090909,377bc163,377bc163-b127-4b18-9333-10c8ae16fb96/processed/377bc163-b127-4b18-9333-10c8ae16fb96.mp3,female-female,2,2,2,2,2,2,2
HSC,3a0b5df2-a40d-4eea-91ce-f95031502c58,9.0,5.25,6.666666666666666,85.0,7.0,4.0,0.9367424242424243,3a0b5df2,3a0b5df2-a40d-4eea-91ce-f95031502c58/processed/3a0b5df2-a40d-4eea-91ce-f95031502c58.mp3,female-female,2,2,2,2,2,2,2
HSC,3e53be18-2e59-4bcd-a5df-08ac30669ef6,9.0,6.5,7.0,92.5,7.0,8.5,0.9659090909090908,3e53be18,3e53be18-2e59-4bcd-a5df-08ac30669ef6/processed/3e53be18-2e59-4bcd-a5df-08ac30669ef6.mp3,female-female,2,2,2,2,2,2,2
